timestamp,Active_Energy_Delivered_Received,Current_Phase_Average,Active_Power,Performance_Ratio,Wind_Speed,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
"2016-11-12 13:50:00",36661,17.288665771484,4.4016661643982,78.817840576172,,35.590732574463,14.625232696533,1062.8651123047,144.18161010742,171.79765319824,0,1015.3829956055,131.58473205566
"2016-11-12 13:55:00",36661,16.818664550781,4.2788000106812,76.961761474609,,35.68087387085,14.598644256592,1050.2873535156,141.00646972656,188.30102539062,0,1010.8443603516,133.16928100586
"2016-11-12 14:00:00",36661,16.464668273926,4.1854667663574,75.720329284668,,35.524353027344,14.624044418335,1034.8798828125,146.74188232422,205.96366882324,0,1005.0061645508,134.2799987793
"2016-11-12 14:05:00",36662,14.672002792358,3.7167332172394,73.534088134766,,35.658210754395,14.601840019226,924.98748779297,154.20362854004,243.23669433594,0,918.98828125,142.17962646484
"2016-11-12 14:10:00",36662,16.53066444397,4.1987333297729,79.899826049805,,35.6213722229,14.686105728149,1013.674987793,143.86164855957,224.99285888672,0,955.45397949219,138.27868652344
"2016-11-12 14:15:00",36662,16.362665176392,4.1529335975647,78.401466369629,,35.936241149902,14.32250213623,995.67614746094,145.03782653809,203.41331481934,0,963.09271240234,143.39099121094
"2016-11-12 14:20:00",36663,16.646667480469,4.2294664382935,78.991989135742,,36.10298538208,14.211757659912,1006.7150878906,170.00526428223,235.79788208008,0,973.50872802734,162.37274169922
"2016-11-12 14:25:00",36663,17.190000534058,4.3649334907532,81.067405700684,,36.368515014648,14.186550140381,1022.5455322266,215.69525146484,191.93511962891,0,978.96838378906,194.69140625
"2016-11-12 14:30:00",36663,13.708665847778,3.4565334320068,72.838172912598,,36.986228942871,13.722224235535,800.73608398438,200.79864501953,217.794921875,0,862.81762695312,208.95765686035
"2016-11-12 14:35:00",36664,17.409334182739,4.4199995994568,83.639785766602,,36.796806335449,13.743160247803,1024.7864990234,232.63180541992,225.31639099121,0,960.83013916016,234.74156188965
"2016-11-12 14:40:00",36664,16.297332763672,4.1267333030701,76.83228302002,,36.000419616699,14.034160614014,1001.4384155273,208.10260009766,179.90547180176,0,976.56237792969,227.85713195801
"2016-11-12 14:45:00",36664,14.320665359497,3.6271333694458,71.551956176758,,36.030555725098,14.278003692627,859.14215087891,236.86614990234,208.05004882812,0,921.67816162109,256.54626464844
"2016-11-12 14:50:00",36665,9.7926654815674,2.4474000930786,65.922920227051,,36.770072937012,13.884847640991,635.97882080078,303.3095703125,231.69456481934,0,675.00323486328,285.35211181641
"2016-11-12 14:55:00",36665,16.420667648315,4.1618666648865,86.573402404785,,36.100685119629,14.233273506165,973.0078125,342.16882324219,194.75946044922,0,874.05944824219,326.47918701172
"2016-11-12 15:00:00",36665,16.934665679932,4.2868003845215,80.878799438477,,36.081230163574,14.080486297607,1028.2230224609,347.20672607422,197.95407104492,0,963.68670654297,347.96646118164
"2016-11-12 15:05:00",36666,12.220665931702,3.0690672397614,73.12678527832,,36.500301361084,13.59331035614,810.91888427734,301.76934814453,192.91305541992,0,763.07501220703,302.43872070312
"2016-11-12 15:10:00",36666,7.4073328971863,1.8289334774017,54.28099822998,,35.159992218018,14.439809799194,426.02713012695,281.27728271484,168.61282348633,0,612.61474609375,287.5185546875
"2016-11-12 15:15:00",36666,14.560001373291,3.6644668579102,91.649559020996,,35.919483184814,14.015592575073,825.64251708984,312.62933349609,203.01403808594,0,726.97210693359,312.11782836914
"2016-11-12 15:20:00",36666,7.514000415802,1.8494665622711,62.0224609375,,35.707065582275,13.910522460938,530.45043945312,351.34613037109,198.4966583252,0,542.16912841797,328.923828125
"2016-11-12 15:25:00",36666,8.5460004806519,2.1149334907532,75.274887084961,,34.835132598877,14.414003372192,411.25436401367,324.92877197266,186.72396850586,0,510.83880615234,313.86846923828
